Application Number,Total Amount,Total Number,Application Received Date,Application Approved Date,Vehicle Category,Vehicle Model,Vehicle Make,Vehicle Year,Date of Purchase,Purchase or Lease?,Zip Code,County
M-000090,"$2,500",2500,6/25/14 17:30,7/8/14 20:46,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-25,Lease,1720,Middlesex
M-000091,"$2,500",2500,6/25/14 23:47,7/10/14 16:29,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-23,Lease,1821,Middlesex
M-000092,"$1,500",1500,6/26/14 8:20,7/8/14 21:08,PHEV,Ford Fusion Energi,Ford,2014,2014-06-25,Purchase,1569,Worcester
M-000093,"$2,500",2500,6/26/14 10:04,7/8/14 21:02,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-26,Purchase,2467,Norfolk
M-000095,"$2,500",2500,6/26/14 17:54,7/8/14 20:34,BEV,Smart Electric Fortwo Cabriolet,Smart,2014,2014-06-22,Lease,1534,Worcester
M-000096,"$2,500",2500,6/26/14 21:21,7/8/14 21:47,BEV,Nissan Leaf S,Nissan,2014,2014-06-26,Purchase,1720,Middlesex
M-000097,"$2,500",2500,6/26/14 22:12,7/10/14 16:48,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-20,Lease,2535,Dukes
M-000098,"$2,500",2500,6/26/14 23:34,7/11/14 17:20,BEV,Nissan Leaf SV,Nissan,2013,2014-06-26,Lease,1033,Hampshire
M-000099,"$2,500",2500,6/27/14 9:45,7/18/14 13:29,BEV,Nissan Leaf SL,Nissan,2013,2014-06-26,Lease,1062,Hampshire
M-000100,"$2,500",2500,6/28/14 12:52,7/8/14 20:43,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-23,Lease,1721,Middlesex
M-000101,"$2,500",2500,6/28/14 13:01,7/10/14 16:38,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-28,Lease,2467,Norfolk
M-000102,"$2,500",2500,6/28/14 16:27,7/11/14 17:29,BEV,Ford Focus Electric,Ford,2014,2014-06-28,Purchase,2056,Norfolk
M-000103,"$2,500",2500,6/29/14 14:39,7/8/14 20:41,BEV,Nissan Leaf SL,Nissan,2014,2014-06-26,Lease,1545,Worcester
M-000104,"$2,500",2500,6/29/14 15:39,7/30/14 15:58,BEV,Honda Fit EV,Honda,2014,2014-06-28,Lease,1030,Hampden
M-000105,"$2,500",2500,6/30/14 9:07,7/8/14 20:55,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-21,Lease,1226,Berkshire
M-000106,"$2,500",2500,6/30/14 9:37,7/8/14 21:17,BEV,Nissan Leaf SV,Nissan,2014,2014-06-21,Purchase,2130,Suffolk
M-000107,"$2,500",2500,6/30/14 12:11,7/11/14 17:19,BEV,BMW i3 REx,BMW,2014,2014-06-28,Purchase,2067,Norfolk
M-000108,"$2,500",2500,6/30/14 18:27,7/21/14 14:55,BEV,Tesla Model S - 60 kWh,Tesla,2014,2014-06-27,Purchase,1742,Middlesex
M-000109,"$2,500",2500,6/30/14 20:00,7/11/14 15:53,PHEV+,Chevrolet Volt,Chevrolet,2013,2014-06-30,Purchase,1440,Worcester
M-000110,"$2,500",2500,6/30/14 21:19,7/10/14 18:51,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-29,Purchase,2717,Bristol
M-000111,"$2,500",2500,6/30/14 23:37,7/11/14 17:37,BEV,Nissan Leaf SV,Nissan,2014,2014-06-30,Purchase,2537,Barnstable
M-000113,"$2,500",2500,7/1/14 10:33,7/11/14 12:49,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-06-26,Purchase,1876,Middlesex
M-000114,"$1,500",1500,7/1/14 17:15,7/8/14 21:28,PHEV,Ford Fusion Energi,Ford,2014,2014-06-19,Purchase,1460,Middlesex
M-000116,"$2,500",2500,7/2/14 8:13,7/11/14 19:00,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-30,Purchase,1545,Worcester
M-000117,"$2,500",2500,7/2/14 9:07,7/10/14 18:49,BEV,BMW i3 REx,BMW,2014,2014-06-25,Purchase,1460,Middlesex
M-000178,"$2,500",2500,7/2/14 12:46,7/15/14 12:41,BEV,Tesla Model S - 60 kWh,Tesla,2014,2014-07-01,Purchase,1503,Worcester
M-000179,"$2,500",2500,7/2/14 21:32,7/11/14 18:34,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-30,Purchase,1938,Essex
M-000180,"$2,500",2500,7/2/14 23:37,7/11/14 18:10,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-22,Purchase,1748,Middlesex
M-000181,"$2,500",2500,7/3/14 0:37,7/18/14 15:17,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-27,Purchase,1201,Berkshire
M-000182,"$2,500",2500,7/3/14 9:01,7/10/14 19:06,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-23,Purchase,2760,Bristol
M-000184,"$2,500",2500,7/3/14 12:07,7/11/14 18:17,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-25,Purchase,2458,Middlesex
M-000185,"$1,500",1500,7/3/14 12:28,7/17/14 16:46,PHEV,Ford Fusion Energi,Ford,2014,2014-06-30,Purchase,2138,Middlesex
M-000186,"$2,500",2500,7/4/14 8:36,7/15/14 12:34,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-06-30,Lease,1983,Essex
M-000187,"$2,500",2500,7/4/14 9:06,7/11/14 15:56,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-06-28,Purchase,2043,Plymouth
M-000188,"$2,500",2500,7/4/14 23:22,7/18/14 15:32,BEV,Nissan Leaf SV,Nissan,2013,2014-06-30,Lease,2703,Bristol
M-000189,"$2,500",2500,7/5/14 9:55,7/11/14 17:23,BEV,Nissan Leaf SL,Nissan,2013,2014-06-30,Lease,1880,Middlesex
M-000190,"$2,500",2500,7/7/14 12:36,7/18/14 14:37,BEV,BMW i3 REx,BMW,2014,2014-07-07,Purchase,2421,Middlesex
M-000192,"$2,500",2500,7/7/14 18:42,7/11/14 18:15,BEV,BMW i3,BMW,2014,2014-07-07,Purchase,1721,Middlesex
M-000193,"$2,500",2500,7/8/14 14:09,7/11/14 18:47,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-26,Lease,2130,Suffolk
M-000194,"$2,500",2500,7/8/14 16:45,7/11/14 18:39,BEV,Nissan Leaf SV,Nissan,2014,2014-06-28,Lease,1106,Hampden
M-000195,"$2,500",2500,7/8/14 16:47,7/11/14 18:45,BEV,Nissan Leaf SL,Nissan,2013,2014-06-28,Lease,1748,Middlesex
M-000196,"$2,500",2500,7/9/14 9:54,7/11/14 18:51,BEV,Nissan Leaf S,Nissan,2014,2014-07-05,Lease,1982,Essex
M-000197,"$2,500",2500,7/9/14 9:55,7/22/14 13:34,BEV,Nissan Leaf SL,Nissan,2014,2014-07-09,Lease,1827,Middlesex
M-000198,"$2,500",2500,7/9/14 13:03,7/18/14 13:53,BEV,Nissan Leaf S,Nissan,2014,2014-07-04,Lease,1720,Middlesex
M-000200,"$2,500",2500,7/9/14 15:13,8/4/14 14:34,BEV,Nissan Leaf S,Nissan,2013,2014-07-07,Lease,1907,Essex
M-000201,"$2,500",2500,7/9/14 15:25,7/29/14 19:38,BEV,Smart Electric Fortwo Cabriolet,Smart,2014,2014-07-09,Lease,1864,Middlesex
M-000202,"$2,500",2500,7/9/14 16:35,7/9/14 16:52,BEV,BMW i3,BMW,2014,2014-06-23,Purchase,1985,Essex
M-000203,"$2,500",2500,7/9/14 22:12,7/11/14 12:56,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-27,Lease,2155,Middlesex
M-000204,"$2,500",2500,7/10/14 5:37,7/18/14 15:01,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-09,Purchase,1354,Franklin
M-000205,"$2,500",2500,7/10/14 11:52,7/15/14 12:29,BEV,Nissan Leaf SV,Nissan,2014,2014-07-02,Lease,1778,Middlesex
M-000206,"$2,500",2500,7/10/14 13:12,7/18/14 14:06,BEV,Nissan Leaf S,Nissan,2014,2014-06-27,Lease,2130,Suffolk
M-000207,"$1,500",1500,7/10/14 13:26,7/18/14 13:51,PHEV,Ford C-MAX Energi,Ford,2014,2014-07-05,Lease,1001,Hampden
M-000208,"$2,500",2500,7/11/14 14:17,7/18/14 14:21,BEV,Nissan Leaf S,Nissan,2013,2014-07-09,Lease,1748,Middlesex
M-000209,"$2,500",2500,7/11/14 15:27,7/18/14 13:57,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-06-30,Lease,1950,Essex
M-000210,"$2,500",2500,7/11/14 17:48,7/11/14 18:01,BEV,Nissan Leaf SL,Nissan,2014,2014-06-30,Lease,1451,Worcester
M-000211,"$2,500",2500,7/12/14 13:32,7/18/14 14:08,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-07,Purchase,1776,Middlesex
M-000212,"$2,500",2500,7/12/14 14:08,7/18/14 14:10,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-05,Purchase,1970,Essex
M-000213,"$2,500",2500,7/13/14 9:16,8/6/14 17:35,BEV,Nissan Leaf SL,Nissan,2013,2014-06-22,Purchase,1921,Essex
M-000214,"$2,500",2500,7/13/14 16:20,7/18/14 14:19,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-07,Purchase,1832,Essex
M-000215,"$1,500",1500,7/13/14 20:08,8/18/14 18:28,PHEV,Ford Fusion Energi,Ford,2013,2014-06-27,Purchase,1040,Hampden
M-000216,"$2,500",2500,7/13/14 20:15,7/21/14 14:52,BEV,Nissan Leaf S,Nissan,2013,2014-07-08,Purchase,1960,Essex
M-000218,"$2,500",2500,7/13/14 21:11,7/18/14 15:21,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-13,Lease,1702,Middlesex
M-000219,"$2,500",2500,7/14/14 14:35,8/6/14 17:39,BEV,BMW i3,BMW,2014,2014-06-20,Purchase,2053,Norfolk
M-000220,"$1,500",1500,7/14/14 14:40,7/18/14 14:25,PHEV,Ford Fusion Energi,Ford,2014,2014-07-03,Lease,1073,Hampshire
M-000221,"$2,500",2500,7/14/14 20:39,7/18/14 15:18,BEV,Nissan Leaf SV,Nissan,2014,2014-07-14,Purchase,2472,Middlesex
M-000222,"$2,500",2500,7/14/14 21:57,7/18/14 14:32,BEV,Nissan Leaf SL,Nissan,2013,2014-07-03,Purchase,2180,Middlesex
M-000223,"$1,500",1500,7/14/14 22:04,7/18/14 15:29,PHEV,Ford Fusion Energi,Ford,2014,2014-07-14,Purchase,2038,Norfolk
M-000224,"$2,500",2500,7/15/14 11:08,7/18/14 14:42,BEV,Nissan Leaf SV,Nissan,2014,2014-07-08,Lease,2720,Bristol
M-000225,"$1,500",1500,7/15/14 12:26,7/18/14 15:20,PHEV,Ford C-MAX Energi,Ford,2014,2014-07-02,Purchase,1776,Middlesex
M-000226,"$2,500",2500,7/15/14 18:16,7/29/14 14:16,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-14,Lease,2478,Middlesex
M-000227,"$2,500",2500,7/15/14 20:52,7/18/14 15:30,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-02,Purchase,1810,Essex
M-000228,"$2,500",2500,7/16/14 7:02,7/18/14 15:11,BEV,Honda Fit EV,Honda,2014,2014-07-14,Lease,2067,Norfolk
M-000229,"$2,500",2500,7/16/14 10:37,7/23/14 16:34,BEV,Nissan Leaf SL,Nissan,2013,2014-07-14,Purchase,1510,Worcester
M-000230,"$2,500",2500,7/16/14 19:30,7/18/14 15:23,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-07,Purchase,1460,Middlesex
M-000231,"$1,500",1500,7/16/14 23:06,7/18/14 15:27,PHEV,Ford C-MAX Energi,Ford,2014,2014-07-08,Purchase,1760,Middlesex
M-000232,"$1,500",1500,7/17/14 14:53,7/23/14 15:59,PHEV,Ford C-MAX Energi,Ford,2014,2014-07-17,Lease,1451,Worcester
M-000233,"$2,500",2500,7/17/14 16:57,7/29/14 19:40,BEV,Nissan Leaf SV,Nissan,2014,2014-07-12,Purchase,2465,Middlesex
M-000234,"$2,500",2500,7/17/14 19:37,7/21/14 14:29,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-06-23,Purchase,2420,Middlesex
M-000235,"$1,500",1500,7/18/14 8:29,7/22/14 13:17,PHEV,Ford Fusion Energi,Ford,2014,2014-07-17,Lease,1970,Essex
M-000237,"$1,500",1500,7/19/14 15:08,7/23/14 16:24,PHEV,Ford Fusion Energi,Ford,2014,2014-07-08,Lease,1030,Hampden
M-000238,"$2,500",2500,7/19/14 15:28,7/29/14 18:20,BEV,Nissan Leaf S,Nissan,2014,2014-07-19,Lease,1880,Middlesex
M-000239,"$2,500",2500,7/20/14 16:07,7/23/14 16:37,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-18,Purchase,1603,Worcester
M-000240,"$2,500",2500,7/20/14 19:25,7/21/14 17:45,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-19,Purchase,1748,Middlesex
M-000241,"$2,500",2500,7/20/14 23:44,7/23/14 16:19,BEV,Nissan Leaf SL,Nissan,2014,2014-07-18,Lease,2461,Middlesex
M-000242,"$2,500",2500,7/21/14 13:09,7/23/14 16:32,BEV,BMW i3 REx,BMW,2014,2014-06-26,Purchase,2066,Plymouth
M-000243,"$2,500",2500,7/21/14 16:39,8/4/14 14:24,BEV,Nissan Leaf SL,Nissan,2013,2014-07-21,Lease,1002,Hampshire
M-000244,"$2,500",2500,7/21/14 18:10,7/29/14 18:06,BEV,Nissan Leaf SV,Nissan,2014,2014-07-18,Lease,2468,Middlesex
M-000245,"$2,500",2500,7/21/14 21:07,8/4/14 20:30,BEV,Nissan Leaf SL,Nissan,2014,2014-07-19,Purchase,1453,Worcester
M-000246,"$2,500",2500,7/21/14 23:12,7/23/14 16:28,BEV,Nissan Leaf S,Nissan,2015,2014-07-19,Purchase,1890,Middlesex
M-000248,"$2,500",2500,7/22/14 21:33,7/29/14 18:38,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-22,Lease,1002,Hampshire
M-000249,"$1,500",1500,7/23/14 13:02,7/31/14 16:52,BEV,Toyota Prius Plug-in Hybrid,Toyota,2014,2014-07-11,Lease,2472,Middlesex
M-000250,"$2,500",2500,7/23/14 20:57,8/4/14 20:32,BEV,Nissan Leaf SL,Nissan,2013,2014-07-22,Lease,2364,Plymouth
M-000251,"$2,500",2500,7/23/14 21:10,7/29/14 19:31,BEV,Honda Fit EV,Honda,2014,2014-07-22,Lease,1821,Middlesex
M-000252,"$2,500",2500,7/23/14 22:06,7/30/14 13:39,BEV,Nissan Leaf S,Nissan,2014,2014-07-17,Lease,2472,Middlesex
M-000253,"$2,500",2500,7/23/14 23:19,7/29/14 19:18,BEV,Smart Electric Fortwo Cabriolet,Smart,2014,2014-07-11,Lease,2745,Bristol
M-000254,"$2,500",2500,7/24/14 13:02,10/3/14 13:16,BEV,Nissan Leaf S,Nissan,2015,2014-07-17,Purchase,1966,Essex
M-000256,"$2,500",2500,7/24/14 16:04,8/4/14 21:16,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-22,Purchase,1850,Middlesex
M-000257,"$2,500",2500,7/24/14 18:18,8/19/14 15:50,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-07,Purchase,1056,Hampden
M-000258,"$2,500",2500,7/24/14 19:29,7/29/14 19:29,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-21,Lease,2180,Middlesex
M-000259,"$2,500",2500,7/26/14 12:30,8/19/14 16:11,BEV,Nissan Leaf SL,Nissan,2013,2014-07-17,Lease,2138,Middlesex
M-000260,"$2,500",2500,7/26/14 12:36,8/4/14 18:25,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-21,Lease,2184,Norfolk
M-000261,"$2,500",2500,7/26/14 16:55,8/4/14 20:40,BEV,Nissan Leaf SV,Nissan,2014,2014-07-19,Lease,2458,Middlesex
M-000263,"$2,500",2500,7/27/14 19:40,8/4/14 14:28,BEV,Nissan Leaf S,Nissan,2014,2014-07-27,Lease,1072,Franklin
M-000264,"$2,500",2500,7/27/14 20:36,7/29/14 19:42,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-16,Lease,2467,Middlesex
M-000265,"$2,500",2500,7/28/14 11:40,7/30/14 18:24,BEV,BMW i3 REx,BMW,2014,2014-07-25,Purchase,1609,Worcester
M-000266,"$2,500",2500,7/28/14 12:28,8/4/14 21:24,BEV,Nissan Leaf S,Nissan,2014,2014-07-25,Lease,1109,Hampden
M-000267,"$2,500",2500,7/28/14 15:06,7/30/14 17:38,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-22,Purchase,2492,Norfolk
M-000268,"$2,500",2500,7/28/14 16:09,7/30/14 16:25,BEV,Smart Electric Fortwo Cabriolet,Smart,2014,2014-07-28,Lease,1760,Middlesex
M-000269,"$2,500",2500,7/28/14 16:10,8/4/14 21:50,BEV,Nissan Leaf S,Nissan,2014,2014-07-28,Purchase,2568,Dukes
M-000270,"$2,500",2500,7/28/14 18:39,7/30/14 17:41,BEV,Ford Focus Electric,Ford,2014,2014-07-28,Purchase,1020,Hampden
M-000271,"$2,500",2500,7/28/14 18:44,8/4/14 20:57,BEV,BMW i3 REx,BMW,2014,2014-07-28,Purchase,1451,Worcester
M-000272,"$2,500",2500,7/28/14 20:07,7/30/14 18:28,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-13,Purchase,1057,Hampden
M-000273,"$1,500",1500,7/28/14 20:23,7/30/14 20:20,PHEV,Ford Fusion Energi,Ford,2014,2014-07-22,Lease,1923,Essex
M-000274,"$2,500",2500,7/28/14 21:49,8/4/14 21:32,PHEV+,Cadillac ELR,Cadillac,2014,2014-07-26,Lease,1085,Hampden
M-000275,"$2,500",2500,7/29/14 20:39,8/4/14 21:12,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-26,Lease,1970,Essex
M-000276,"$2,500",2500,7/30/14 12:05,8/4/14 18:07,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-26,Purchase,2472,Middlesex
M-000277,"$2,500",2500,7/30/14 16:39,8/7/14 15:29,BEV,Nissan Leaf S,Nissan,2014,2014-07-29,Purchase,2081,Norfolk
M-000278,"$2,500",2500,7/30/14 17:52,8/4/14 20:42,BEV,Nissan Leaf S,Nissan,2014,2014-07-27,Lease,2170,Norfolk
M-000279,"$2,500",2500,7/30/14 20:35,8/4/14 20:38,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-18,Purchase,2062,Norfolk
M-000280,"$2,500",2500,7/30/14 23:50,8/18/14 18:20,PHEV+,Cadillac ELR,Cadillac,2014,2014-07-28,Purchase,1773,Middlesex
M-000281,"$2,500",2500,7/31/14 10:35,8/21/14 19:13,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-07-28,Purchase,2481,Norfolk
M-000282,"$1,500",1500,7/31/14 10:47,8/18/14 18:26,PHEV,Ford Fusion Energi,Ford,2014,2014-07-30,Lease,2478,Middlesex
M-000284,"$2,500",2500,7/31/14 19:10,8/4/14 21:47,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-30,Lease,2144,Middlesex
M-000285,"$2,500",2500,7/31/14 20:13,8/18/14 19:36,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-31,Purchase,2462,Middlesex
M-000286,"$2,500",2500,8/1/14 8:18,8/19/14 16:06,BEV,BMW i3 REx,BMW,2014,2014-07-25,Purchase,2093,Norfolk
M-000287,"$2,500",2500,8/1/14 11:47,8/4/14 21:18,BEV,Nissan Leaf S,Nissan,2014,2014-07-31,Lease,1027,Hampshire
M-000288,"$2,500",2500,8/1/14 15:15,8/20/14 13:45,BEV,Nissan Leaf SL,Nissan,2014,2014-07-10,Lease,1060,Hampshire
M-000289,"$2,500",2500,8/1/14 18:15,8/4/14 21:14,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-31,Lease,1701,Middlesex
M-000290,"$1,500",1500,8/2/14 10:53,8/18/14 18:37,PHEV,Ford C-MAX Energi,Ford,2014,2014-06-25,Purchase,2360,Plymouth
M-000291,"$2,500",2500,8/2/14 12:12,9/8/14 17:03,BEV,Nissan Leaf S,Nissan,2014,2014-07-23,Lease,2748,Bristol
M-000292,"$2,500",2500,8/2/14 16:07,8/4/14 21:26,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-07-30,Purchase,2478,Middlesex
M-000293,"$2,500",2500,8/2/14 18:25,8/18/14 19:15,BEV,Nissan Leaf SV,Nissan,2015,2014-08-02,Purchase,1503,Worcester
M-000294,"$2,500",2500,8/2/14 19:34,8/19/14 19:27,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-07-25,Purchase,1844,Essex
M-000295,"$2,500",2500,8/3/14 10:27,8/18/14 19:34,BEV,Ford Focus Electric,Ford,2014,2014-07-31,Purchase,1035,Hampshire
M-000296,"$2,500",2500,8/3/14 17:34,8/18/14 19:38,BEV,Nissan Leaf SV,Nissan,2015,2014-08-01,Lease,2072,Norfolk
M-000297,"$2,500",2500,8/4/14 13:17,8/25/14 20:13,BEV,Nissan Leaf S,Nissan,2014,2014-08-04,Lease,1002,Hampshire
M-000298,"$2,500",2500,8/4/14 17:24,8/19/14 16:03,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-08-04,Lease,1504,Worcester
M-000299,"$1,500",1500,8/4/14 20:59,8/19/14 16:57,PHEV,Ford Fusion Energi,Ford,2014,2014-07-26,Lease,1754,Middlesex
M-000300,"$1,500",1500,8/4/14 22:49,8/19/14 20:32,PHEV,Ford Fusion Energi,Ford,2014,2014-08-04,Lease,1776,Middlesex
M-000301,"$2,500",2500,8/5/14 14:31,8/18/14 19:07,BEV,Nissan Leaf SL,Nissan,2015,2014-07-31,Purchase,2347,Plymouth
M-000302,"$2,500",2500,8/5/14 16:10,8/18/14 19:10,BEV,BMW i3,BMW,2014,2014-07-29,Purchase,2492,Norfolk
M-000303,"$2,500",2500,8/5/14 18:10,8/19/14 20:58,BEV,Nissan Leaf SL,Nissan,2014,2014-07-29,Lease,1721,Middlesex
M-000304,"$2,500",2500,8/6/14 11:28,8/18/14 19:18,BEV,Nissan Leaf S,Nissan,2013,2014-08-05,Lease,1742,Middlesex
M-000305,"$1,500",1500,8/6/14 13:16,8/20/14 18:19,PHEV,Ford C-MAX Energi,Ford,2014,2014-07-31,Purchase,1773,Middlesex
M-000306,"$2,500",2500,8/6/14 13:30,8/20/14 13:50,BEV,Smart Electric Fortwo Cabriolet,Smart,2014,2014-07-31,Lease,1970,Essex
M-000307,"$1,500",1500,8/6/14 17:24,8/19/14 15:52,PHEV,Ford Fusion Energi,Ford,2014,2014-08-06,Lease,2494,Norfolk
M-000308,"$2,500",2500,8/7/14 12:31,8/19/14 16:00,BEV,Tesla Model S - 85 kWh,Tesla,2014,2014-07-30,Purchase,2649,Barnstable
M-000309,"$2,500",2500,8/9/14 16:36,8/19/14 20:15,BEV,Nissan Leaf SV,Nissan,2013,2014-08-09,Lease,2056,Norfolk
M-000310,"$2,500",2500,8/9/14 17:03,8/28/14 20:01,BEV,BMW i3 REx,BMW,2014,2014-08-06,Purchase,2462,Middlesex
M-000311,"$2,500",2500,8/10/14 22:01,8/19/14 19:31,PHEV+,Chevrolet Volt,Chevrolet,2014,2014-08-02,Purchase,1451,Worcester
M-000312,"$2,500",2500,8/11/14 14:30,8/20/14 13:30,BEV,Smart Electric Fortwo Cabriolet,Smart,2014,2014-07-31,Lease,2114,Suffolk
M-000313,"$2,500",2500,8/11/14 14:33,8/18/14 19:50,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-21,Lease,2116,Suffolk
M-000314,"$2,500",2500,8/11/14 15:59,8/21/14 19:21,BEV,Ford Focus Electric,Ford,2014,2014-08-07,Purchase,1824,Middlesex
M-000316,"$2,500",2500,8/12/14 12:40,8/19/14 19:49,BEV,Nissan Leaf SV,Nissan,2014,2014-07-30,Lease,1827,Middlesex
M-000317,"$2,500",2500,8/12/14 13:34,8/19/14 20:23,BEV,Nissan Leaf SL,Nissan,2015,2014-08-09,Purchase,1776,Middlesex
M-000318,"$2,500",2500,8/12/14 14:25,8/19/14 20:52,BEV,Smart Electric Fortwo Coupe,Smart,2014,2014-07-31,Lease,2468,Middlesex
M-000319,"$1,500",1500,8/12/14 14:29,8/20/14 13:23,BEV,Toyota Prius Plug-in Hybrid,Toyota,2014,2014-07-31,Purchase,1949,Essex
M-000320,"$2,500",2500,8/12/14 14:52,8/19/14 20:45,BEV,BMW i3 REx,BMW,2014,2014-06-28,Purchase,1451,Worcester
M-000321,"$2,500",2500,8/12/14 22:18,8/27/14 15:06,BEV,Mitsubishi i-MiEV,Mitsubishi,2014,2014-07-05,Purchase,2452,Middlesex
